²	0
³	1
í	2
ƨ	3
ʌ	4
λ	5
π	6
и	7
ⅱ	8
①	9
②	10
③	11
④	12
〇	13
の	14
サ	15
シ	16
ジ	17
マ	18
㸃	19
一	20
丁	21
七	22
万	23
丈	24
三	25
上	26
下	27
不	28
与	29
丑	30
专	31
且	32
世	33
丘	34
丙	35
业	36
丛	37
东	38
丝	39
丞	40
丢	41
两	42
严	43
丧	44
丨	45
个	46
丫	47
中	48
丰	49
串	50
临	51
丶	52
丸	53
丹	54
为	55
主	56
丼	57
丽	58
举	59
乃	60
久	61
么	62
义	63
之	64
乌	65
乍	66
乎	67
乐	68
乒	69
乓	70
乔	71
乖	72
乘	73
乙	74
九	75
乞	76
也	77
习	78
乡	79
书	80
买	81
乱	82
乳	83
乾	84
了	85
予	86
争	87
事	88
二	89
于	90
亏	91
云	92
互	93
五	94
井	95
亘	96
亚	97
些	98
亢	99
交	100
亦	101
产	102
亨	103
亩	104
享	105
京	106
亭	107
亮	108
亲	109
亳	110
人	111
亿	112
什	113
仁	114
仅	115
仆	116
仇	117
今	118
介	119
从	120
仑	121
仓	122
仔	123
仕	124
他	125
仗	126
付	127
仙	128
仞	129
仟	130
代	131
令	132
以	133
仨	134
仪	135
们	136
仰	137
仲	138
件	139
价	140
仺	141
任	142
份	143
仿	144
企	145
伊	146
伍	147
伏	148
伐	149
休	150
众	151
优	152
伙	153
会	154
伞	155
伟	156
传	157
伢	158
伤	159
伦	160
伪	161
伯	162
估	163
伴	164
伶	165
伸	166
似	167
伽	168
但	169
位	170
低	171
住	172
佐	173
佑	174
体	175
何	176
佗	177
佘	178
佛	179
作	180
你	181
佣	182
佧	183
佩	184
佬	185
佰	186
佳	187
佶	188
使	189
侃	190
侈	191
例	192
侍	193
供	194
依	195
侠	196
侣	197
侦	198
侧	199
侨	200
侬	201
侯	202
侵	203
便	204
促	205
俄	206
俊	207
俏	208
俗	209
保	210
俞	211
信	212
俩	213
俪	214
俬	215
俭	216
修	217
俱	218
俵	219
俺	220
倌	221
倍	222
倒	223
候	224
倚	225
借	226
倡	227
倩	228
倪	229
债	230
值	231
倾	232
假	233
偏	234
做	235
停	236
健	237
偶	238
偷	239
偿	240
傅	241
傣	242
储	243
催	244
傲	245
傻	246
像	247
僧	248
儒	249
儿	250
允	251
元	252
兄	253
充	254
兆	255
先	256
光	257
克	258
免	259
兑	260
兔	261
党	262
兜	263
入	264
全	265
八	266
公	267
六	268
兮	269
兰	270
共	271
关	272
兴	273
兵	274
其	275
具	276
典	277
兹	278
养	279
兼	280
兽	281
兿	282
冀	283
内	284
冈	285
冉	286
册	287
再	288
冒	289
写	290
冚	291
军	292
农	293
冠	294
冥	295
冬	296
冮	297
冯	298
冰	299
冲	300
决	301
况	302
冶	303
冷	304
冻	305
净	306
准	307
凉	308
凌	309
减	310
凝	311
几	312
凡	313
凤	314
処	315
凭	316
凯	317
凰	318
凳	319
凸	320
凹	321
出	322
击	323
函	324
凿	325
刀	326
刁	327
刃	328
分	329
切	330
刊	331
刑	332
划	333
列	334
刘	335
则	336
刚	337
创	338
初	339
删	340
判	341
刨	342
利	343
别	344
刮	345
到	346
制	347
刷	348
券	349
刹	350
刺	351
刻	352
剁	353
剂	354
剃	355
削	356
前	357
剐	358
剑	359
剔	360
剖	361
剥	362
剧	363
剩	364
剪	365
副	366
割	367
劈	368
力	369
劝	370
办	371
功	372
加	373
务	374
动	375
助	376
努	377
劫	378
励	379
劲	380
劳	381
劵	382
势	383
勃	384
勅	385
勇	386
勋	387
勐	388
勑	389
勒	390
勘	391
募	392
勤	393
勺	394
勾	395
勿	396
匀	397
包	398
匆	399
匍	400
化	401
北	402
匙	403
匝	404
匠	405
匡	406
匪	407
匹	408
区	409
医	410
匾	411
十	412
千	413
升	414
午	415
